"player","number","team","position","height","weight","birth_date","country","experience","college","salary","rank","age","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Jerian Grant","2","CHI","PG","6-4",195,"October 9, 1992","us","1","University of Notre Dame",1643040,9,24,63,28,1028,128,301,0.425,49,134,0.366,79,167,0.473,0.507,65,73,0.89,17,94,111,121,47,8,44,93,370
"Jimmy Butler","21","CHI","SF","6-8",236,"September 14, 1989","us","5","Marquette University",17552209,1,27,76,75,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,0.492,585,676,0.865,129,341,470,417,143,32,159,112,1816
"Joffrey Lauvergne","77","CHI","C","6-11",220,"September 30, 1991","fr","2","",1709720,15,25,20,1,241,37,92,0.402,6,20,0.3,31,72,0.431,0.435,9,15,0.6,21,47,68,19,7,0,16,12,89
"Michael Carter-Williams","7","CHI","PG","6-6",190,"October 10, 1991","us","3","Syracuse University",3183526,12,25,45,19,846,112,306,0.366,15,64,0.234,97,242,0.401,0.391,58,77,0.753,24,129,153,113,38,23,66,102,297
"Nikola Mirotic","44","CHI","PF","6-10",220,"February 11, 1991","me","2","",5782450,5,25,70,15,1679,258,625,0.413,129,377,0.342,129,248,0.52,0.516,99,128,0.773,61,323,384,75,53,55,80,128,744
"Paul Zipser","16","CHI","SF","6-8",215,"February 18, 1994","de","R","",750000,13,22,44,18,843,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240
"R.J. Hunter","31","CHI","SG","6-5",185,"October 24, 1993","us","1","Georgia State University",425000,18,23,3,0,9,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,0,0,0,0,0,0
"Rajon Rondo","9","CHI","PG","6-1",186,"February 22, 1986","us","10","University of Kentucky",1.4e+07,3,30,69,42,1843,229,561,0.408,50,133,0.376,179,428,0.418,0.453,30,50,0.6,73,282,355,461,99,11,169,144,538
"Robin Lopez","8","CHI","C","7-0",255,"April 1, 1988","us","8","Stanford University",13219250,2,28,81,81,2271,382,775,0.493,0,2,0,382,773,0.494,0.493,75,104,0.721,244,276,520,80,18,117,91,151,839
"Dion Waiters","11","MIA","SG","6-4",225,"December 10, 1991","us","4","Syracuse University",2898000,8,25,46,43,1384,281,663,0.424,85,215,0.395,196,448,0.438,0.488,82,127,0.646,18,135,153,200,42,20,103,95,729
"Goran Dragic","7","MIA","PG","6-3",190,"May 6, 1986","si","8","",15890000,2,30,73,73,2459,534,1124,0.475,117,289,0.405,417,835,0.499,0.527,298,377,0.79,62,217,279,423,89,13,212,199,1483
"Hassan Whiteside","21","MIA","C","7-0",265,"June 13, 1989","us","4","Marshall University",22116750,1,27,77,77,2513,542,973,0.557,0,0,NA,542,973,0.557,0.557,225,358,0.628,293,795,1088,57,57,161,154,226,1309
"James Johnson","16","MIA","PF","6-9",250,"February 20, 1987","us","7","Wake Forest University",4e+06,4,29,76,5,2085,368,769,0.479,87,256,0.34,281,513,0.548,0.535,152,215,0.707,66,310,376,276,76,86,171,197,975
"Josh McRoberts","4","MIA","PF","6-10",240,"February 28, 1987","us","9","Duke University",5782450,13,29,22,14,381,44,118,0.373,13,31,0.419,31,87,0.356,0.428,6,9,0.667,23,51,74,50,10,4,23,31,107
"Josh Richardson","0","MIA","SG","6-6",200,"September 15, 1993","us","1","University of Tennessee",874636,6,23,53,34,1614,202,513,0.394,75,227,0.33,127,286,0.444,0.467,60,77,0.779,35,133,168,140,60,39,65,132,539
"Justise Winslow","20","MIA","SF","6-7",225,"March 26, 1996","us","1","Duke University",2593440,11,20,18,15,625,80,225,0.356,7,35,0.2,73,190,0.384,0.371,29,47,0.617,23,71,94,66,26,6,33,52,196
"Luke Babbitt","5","MIA","SF","6-9",225,"June 20, 1989","us","6","University of Nevada, Reno",1227000,9,27,68,55,1065,113,281,0.402,87,210,0.414,26,71,0.366,0.557,11,15,0.733,12,129,141,36,20,11,25,118,324
"Okaro White","15","MIA","PF","6-8",204,"August 13, 1992","us","R","Florida State University",374933,12,24,35,0,471,33,87,0.379,12,34,0.353,21,53,0.396,0.448,20,22,0.909,25,57,82,21,10,10,18,52,98
"Rodney McGruder","17","MIA","SG","6-4",205,"July 29, 1991","us","R","Kansas State University",543471,5,25,78,65,1966,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,94,162,256,124,46,18,56,140,497
"Tyler Johnson","8","MIA","PG","6-4",186,"May 7, 1992","us","2","California State University, Fresno",5628000,3,24,73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002
"Udonis Haslem","40","MIA","C","6-8",235,"June 9, 1980","us","13","University of Florida",4e+06,15,36,16,0,130,11,23,0.478,0,3,0,11,20,0.55,0.478,9,15,0.6,8,28,36,6,6,1,8,22,31
"Wayne Ellington","2","MIA","SG","6-4",200,"October 29, 1987","us","7","University of North Carolina",6e+06,7,29,62,13,1500,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,114,132,70,35,4,30,70,648
"Willie Reed","35","MIA","C","6-10",220,"May 16, 1990","us","1","Saint Louis University",1015696,10,26,71,5,1031,162,285,0.568,1,4,0.25,161,281,0.573,0.57,49,88,0.557,129,203,332,26,18,47,31,137,374
"Andre Drummond","0","DET","C","6-11",279,"August 10, 1993","us","4","University of Connecticut",22116750,4,23,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105
"Aron Baynes","12","DET","C","6-10",260,"December 9, 1986","nz","4","Washington State University",6500000,9,30,75,2,1163,143,279,0.513,0,0,NA,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365
"Beno Udrih","19","DET","PG","6-3",205,"July 5, 1982","si","12","",1551659,10,34,39,0,560,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,36,29,227
"Boban Marjanovic","51","DET","C","7-3",290,"August 15, 1988","rs","1","",7e+06,13,28,35,0,293,72,132,0.545,0,0,NA,72,132,0.545,0.545,47,58,0.81,46,84,130,9,6,12,10,25,191
"Darrun Hilliard","6","DET","SG","6-6",205,"April 13, 1993","us","1","Villanova University",874636,12,23,39,1,381,47,126,0.373,12,46,0.261,35,80,0.438,0.421,21,28,0.75,2,31,33,33,11,2,28,39,127
"Henry Ellenson","8","DET","PF","6-11",245,"January 13, 1997","us","R","Marquette University",1704120,14,20,19,2,146,23,64,0.359,10,35,0.286,13,29,0.448,0.438,4,8,0.5,8,33,41,7,1,1,14,6,60
"Ish Smith","14","DET","PG","6-0",175,"July 5, 1988","us","6","Wake Forest University",6e+06,5,28,81,32,1955,329,749,0.439,28,105,0.267,301,644,0.467,0.458,72,102,0.706,21,214,235,418,61,33,112,127,758
"Jon Leuer","30","DET","PF","6-10",228,"May 14, 1989","us","5","University of Wisconsin",10991957,6,27,75,34,1944,310,646,0.48,49,167,0.293,261,479,0.545,0.518,98,113,0.867,102,300,402,111,31,26,66,145,767
"Kentavious Caldwell-Pope","5","DET","SG","6-5",205,"February 18, 1993","us","3","University of Georgia",3678319,3,23,76,75,2529,370,928,0.399,153,437,0.35,217,491,0.442,0.481,154,185,0.832,55,193,248,193,89,12,86,118,1047
"Marcus Morris","13","DET","SF","6-9",235,"September 2, 1989","us","5","University of Kansas",4625000,2,27,79,79,2565,421,1007,0.418,118,357,0.331,303,650,0.466,0.477,145,185,0.784,77,289,366,160,52,25,87,168,1105
"Michael Gbinije","9","DET","SG","6-7",200,"June 5, 1992","us","R","Duke University, Syracuse University",650000,15,24,9,0,32,1,10,0.1,0,4,0,1,6,0.167,0.1,2,2,1,2,1,3,2,0,0,0,2,4
"Reggie Bullock","25","DET","SF","6-7",205,"March 16, 1991","us","3","University of North Carolina",2255644,11,25,31,5,467,54,128,0.422,28,73,0.384,26,55,0.473,0.531,5,7,0.714,13,51,64,29,18,3,10,22,141
"Reggie Jackson","1","DET","PG","6-3",208,"April 16, 1990","it","5","Boston College",14956522,7,26,52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752
"Stanley Johnson","7","DET","SF","6-7",245,"May 29, 1996","us","1","University of Arizona",2969880,8,20,77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339
"Tobias Harris","34","DET","PF","6-9",235,"July 15, 1992","us","5","University of Tennessee",17200000,1,24,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321
"Aaron Harrison","9","CHO","SG","6-6",210,"October 28, 1994","us","1","University of Kentucky",375579,19,22,5,0,17,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,3,3,3,0,0,0,2,1
"Brian Roberts","22","CHO","PG","6-1",173,"December 3, 1985","us","4","University of Dayton",1050961,12,31,41,2,416,46,122,0.377,17,44,0.386,29,78,0.372,0.447,33,39,0.846,5,34,39,52,9,1,26,18,142
"Briante Weber","0","CHO","PG","6-2",165,"December 29, 1992","us","1","Virginia Commonwealth University",231521,15,24,13,0,159,20,46,0.435,1,7,0.143,19,39,0.487,0.446,9,13,0.692,8,14,22,16,9,0,5,12,50
"Christian Wood","35","CHO","PF","6-11",220,"September 27, 1995","us","1","University of Nevada, Las Vegas",874636,16,21,13,0,107,12,23,0.522,0,5,0,12,18,0.667,0.522,11,15,0.733,14,15,29,2,3,6,7,11,35
"Cody Zeller","40","CHO","C","7-0",240,"October 5, 1992","us","3","Indiana University",5318313,7,24,62,58,1725,253,443,0.571,0,1,0,253,442,0.572,0.571,133,196,0.679,135,270,405,99,62,58,65,189,639
"Frank Kaminsky","44","CHO","C","7-0",242,"April 4, 1993","us","1","University of Wisconsin",2730000,5,23,75,16,1954,320,802,0.399,116,354,0.328,204,448,0.455,0.471,118,156,0.756,57,279,336,162,46,34,76,139,874
"Jeremy Lamb","3","CHO","SG","6-5",185,"May 30, 1992","us","4","University of Connecticut",6511628,8,24,62,5,1143,226,491,0.46,41,146,0.281,185,345,0.536,0.502,110,129,0.853,30,234,264,75,27,23,40,98,603
"Johnny O'Bryant","8","CHO","PF","6-9",257,"June 1, 1993","us","2","Louisiana State University",276827,17,23,4,0,34,8,15,0.533,1,3,0.333,7,12,0.583,0.567,1,2,0.5,4,4,8,4,0,0,3,6,18
"Kemba Walker","15","CHO","PG","6-1",172,"May 8, 1990","us","5","University of Connecticut",1.2e+07,1,26,79,79,2739,643,1449,0.444,240,602,0.399,403,847,0.476,0.527,304,359,0.847,45,263,308,434,85,22,168,119,1830
"Marco Belinelli","21","CHO","SG","6-5",210,"March 25, 1986","it","9","",6333333,6,30,74,0,1778,264,615,0.429,102,283,0.36,162,332,0.488,0.512,150,168,0.893,14,164,178,147,44,9,70,90,780
"Marvin Williams","2","CHO","PF","6-9",237,"June 19, 1986","us","11","University of North Carolina",12250000,4,30,76,76,2295,297,704,0.422,124,354,0.35,173,350,0.494,0.51,131,150,0.873,89,411,500,106,58,53,60,134,849
"Michael Kidd-Gilchrist","14","CHO","SF","6-7",232,"September 26, 1993","us","4","University of Kentucky",1.3e+07,3,23,81,81,2349,295,618,0.477,1,9,0.111,294,609,0.483,0.478,152,194,0.784,156,409,565,114,81,77,56,187,743
"Mike Tobey","10","CHO","C","7-0",260,"October 10, 1994","us","R","University of Virginia",138938,18,22,2,0,25,1,4,0.25,0,0,NA,1,4,0.25,0.25,0,0,NA,2,1,3,1,0,0,1,2,2
"Nicolas Batum","5","CHO","SG","6-8",200,"December 14, 1988","fr","8","",20869566,2,28,77,77,2617,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,456,86,29,194,109,1164
"Ramon Sessions","7","CHO","PG","6-3",190,"April 11, 1986","us","9","University of Nevada, Reno",6e+06,9,30,50,1,811,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.771,11,62,73,129,27,3,46,43,312
"Treveon Graham","12","CHO","SG","6-6",220,"October 29, 1993","us","R","Virginia Commonwealth University",543471,13,23,27,1,189,19,40,0.475,9,15,0.6,10,25,0.4,0.588,10,15,0.667,5,17,22,6,6,1,3,18,57
"Carmelo Anthony","7","NYK","SF","6-8",240,"May 29, 1984","us","13","Syracuse University",24559380,1,32,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659
"Chasson Randle","4","NYK","PG","6-2",185,"February 5, 1993","us","R","Stanford University",243860,15,23,18,0,225,28,72,0.389,10,32,0.313,18,40,0.45,0.458,29,31,0.935,6,21,27,28,6,1,16,28,95
"Courtney Lee","5","NYK","SG","6-5",200,"October 3, 1985","us","8","Western Kentucky University",11242000,2,31,77,74,2459,321,704,0.456,108,269,0.401,213,435,0.49,0.533,85,98,0.867,53,206,259,179,81,24,69,141,835
"Derrick Rose","25","NYK","PG","6-3",190,"October 4, 1988","us","7","University of Memphis",21323250,4,28,64,64,2082,460,977,0.471,13,60,0.217,447,917,0.487,0.477,221,253,0.874,66,180,246,283,44,17,147,84,1154
"Joakim Noah","13","NYK","C","6-11",230,"February 25, 1985","us","9","University of Florida",1.7e+07,10,31,46,46,1015,99,202,0.49,0,1,0,99,201,0.493,0.49,34,78,0.436,162,241,403,103,30,37,58,127,232
"Justin Holiday","8","NYK","SG","6-6",185,"April 5, 1989","us","3","University of Washington",1015696,5,27,82,4,1639,233,538,0.433,97,273,0.355,136,265,0.513,0.523,66,80,0.825,27,198,225,102,65,31,66,109,629
"Kristaps Porzingis","6","NYK","PF","7-3",240,"August 2, 1995","lv","1","",4317720,3,21,66,65,2164,443,985,0.45,112,314,0.357,331,671,0.493,0.507,198,252,0.786,111,364,475,97,47,129,118,244,1196
"Kyle O'Quinn","9","NYK","C","6-10",250,"March 26, 1990","us","4","Norfolk State University",3900000,8,26,79,8,1229,215,413,0.521,2,17,0.118,213,396,0.538,0.523,64,83,0.771,157,282,439,117,36,104,76,174,496
"Lance Thomas","42","NYK","PF","6-8",235,"April 24, 1988","us","5","Duke University",6191000,11,28,46,15,968,97,244,0.398,38,85,0.447,59,159,0.371,0.475,43,51,0.843,32,110,142,35,21,5,25,85,275
"Marshall Plumlee","40","NYK","C","7-0",250,"July 14, 1992","us","R","Duke University",543471,16,24,21,1,170,16,30,0.533,0,0,NA,16,30,0.533,0.533,8,19,0.421,23,28,51,10,4,4,12,23,40
"Maurice Ndour","2","NYK","PF","6-9",200,"June 18, 1992","sn","R","Ohio University",543471,14,24,32,4,331,39,86,0.453,1,7,0.143,38,79,0.481,0.459,19,26,0.731,22,42,64,8,15,8,12,30,98
"Mindaugas Kuzminskas","91","NYK","SF","6-9",215,"October 19, 1989","lt","R","",2898000,9,27,68,5,1016,158,369,0.428,54,168,0.321,104,201,0.517,0.501,55,68,0.809,47,79,126,69,29,11,51,79,425
"Ron Baker","31","NYK","SG","6-4",220,"March 30, 1993","us","R","Wichita State University",543471,12,23,52,13,857,82,217,0.378,23,86,0.267,59,131,0.45,0.431,28,43,0.651,12,86,98,107,34,8,56,74,215
"Sasha Vujacic","18","NYK","SG","6-7",195,"March 8, 1984","si","9","",1410598,13,32,42,4,408,42,136,0.309,23,74,0.311,19,62,0.306,0.393,17,24,0.708,12,47,59,52,13,2,16,38,124
"Willy Hernangomez","14","NYK","C","6-11",240,"May 27, 1994","es","R","",1375000,7,22,72,22,1324,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587
"Aaron Gordon","0","ORL","SF","6-9",220,"September 16, 1995","us","2","University of Arizona",4351320,2,21,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019
"Anthony Brown","21","ORL","SF","6-7",210,"October 10, 1992","us","1","Stanford University",51449,19,24,2,0,16,4,9,0.444,1,3,0.333,3,6,0.5,0.5,0,0,NA,2,5,7,2,0,0,1,2,9
"Arinze Onuaku","21","ORL","C","6-9",255,"July 13, 1987","us","2","Syracuse University",440078,18,29,8,0,28,2,4,0.5,0,0,NA,2,4,0.5,0.5,0,0,NA,2,4,6,2,0,1,2,3,4
"Bismack Biyombo","11","ORL","C","6-9",255,"August 28, 1992","cd","5","",1.7e+07,5,24,81,27,1793,179,339,0.528,0,0,NA,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483
"C.J. Watson","32","ORL","PG","6-2",175,"April 17, 1984","us","9","University of Tennessee",5e+06,9,32,62,9,1012,96,248,0.387,32,105,0.305,64,143,0.448,0.452,57,66,0.864,16,73,89,114,43,2,47,84,281
"C.J. Wilcox","23","ORL","SG","6-5",195,"December 30, 1990","us","2","University of Washington",1209680,14,26,22,0,108,8,31,0.258,3,15,0.2,5,16,0.313,0.306,2,2,1,4,8,12,12,2,1,6,8,21
"D.J. Augustin","14","ORL","PG","6-0",183,"November 10, 1987","us","8","University of Texas at Austin",7250000,7,29,78,20,1538,195,517,0.377,95,274,0.347,100,243,0.412,0.469,131,161,0.814,15,102,117,209,31,1,90,101,616
"Damjan Rudez","3","ORL","SF","6-10",228,"June 17, 1986","hr","2","",980431,13,30,45,0,314,31,88,0.352,20,64,0.313,11,24,0.458,0.466,0,0,NA,5,20,25,20,12,1,9,31,82
"Elfrid Payton","4","ORL","PG","6-4",185,"February 22, 1994","us","2","University of Louisiana at Lafayette",2613600,1,22,82,58,2412,430,912,0.471,40,146,0.274,390,766,0.509,0.493,146,211,0.692,89,298,387,529,88,40,178,177,1046
"Evan Fournier","10","ORL","SG","6-7",205,"October 29, 1992","fr","4","",1.7e+07,3,24,68,66,2234,408,930,0.439,128,360,0.356,280,570,0.491,0.508,223,277,0.805,44,165,209,202,66,4,141,180,1167
"Jeff Green","34","ORL","PF","6-9",235,"August 28, 1986","us","8","Georgetown University",1.5e+07,8,30,69,11,1534,220,558,0.394,53,193,0.275,167,365,0.458,0.442,145,168,0.863,39,175,214,81,37,13,75,103,638
"Jodie Meeks","20","ORL","SG","6-4",210,"August 21, 1987","us","7","University of Kentucky",6540000,12,29,36,10,738,103,256,0.402,56,137,0.409,47,119,0.395,0.512,65,74,0.878,5,72,77,45,34,4,36,41,327
"Marcus Georges-Hunt","13","ORL","SG","6-5",216,"March 28, 1994","us","R","Georgia Institute of Technology",31969,16,22,5,0,48,2,7,0.286,1,2,0.5,1,5,0.2,0.357,9,10,0.9,1,8,9,3,1,0,2,5,14
"Mario Hezonja","8","ORL","SF","6-8",215,"February 25, 1995","hr","1","",3909840,10,21,65,2,960,117,330,0.355,43,144,0.299,74,186,0.398,0.42,40,50,0.8,20,126,146,62,30,15,58,74,317
"Nikola Vucevic","9","ORL","C","7-0",260,"October 24, 1990","ch","5","University of Southern California",11750000,4,26,75,55,2163,483,1031,0.468,23,75,0.307,460,956,0.481,0.48,107,160,0.669,176,603,779,208,76,74,117,180,1096
"Patricio Garino","29","ORL","SG","6-6",210,"May 17, 1993","ar","R","George Washington University",31969,17,23,5,0,43,0,7,0,0,5,0,0,2,0,0,0,0,NA,1,6,7,0,0,0,3,4,0
"Stephen Zimmerman","33","ORL","C","7-0",240,"September 9, 1996","us","R","University of Nevada, Las Vegas",950000,15,20,19,0,108,10,31,0.323,0,0,NA,10,31,0.323,0.323,3,5,0.6,11,24,35,4,2,5,3,17,23
"Terrence Ross","31","ORL","SF","6-7",206,"February 5, 1991","us","4","University of Washington",1e+07,11,25,24,24,748,115,267,0.431,46,135,0.341,69,132,0.523,0.517,23,27,0.852,4,64,68,43,34,13,35,61,299
"Alex Poythress","5","PHI","PF","6-7",238,"September 6, 1993","us","R","University of Kentucky",38903,16,23,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64
"Dario Saric","9","PHI","PF","6-10",223,"April 8, 1994","hr","R","",2318280,3,22,81,36,2129,381,927,0.411,106,341,0.311,275,586,0.469,0.468,172,220,0.782,112,401,513,182,57,30,183,162,1040
"Gerald Henderson","12","PHI","SG","6-5",215,"December 9, 1987","us","7","Duke University",9e+06,5,29,72,41,1667,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,40,15,62,129,662
"Hollis Thompson","31","PHI","SG","6-8",206,"April 3, 1991","us","3","Georgetown University",442126,13,25,31,1,561,66,159,0.415,26,71,0.366,40,88,0.455,0.497,13,20,0.65,15,69,84,26,14,6,9,55,171
"Jahlil Okafor","8","PHI","C","6-11",275,"December 15, 1995","us","1","Duke University",4788840,10,21,50,33,1134,242,471,0.514,0,0,NA,242,471,0.514,0.514,106,158,0.671,81,159,240,58,20,49,91,122,590
"Jerryd Bayless","0","PHI","PG","6-3",200,"August 20, 1988","us","8","University of Arizona",9424084,19,28,3,1,71,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,12,13,0,0,9,4,33
"Joel Embiid","21","PHI","C","7-0",250,"March 16, 1994","cm","R","University of Kansas",4826160,11,22,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627
"Justin Anderson","23","PHI","SF","6-6",228,"November 19, 1993","us","1","University of Virginia",1514160,14,23,24,8,518,75,162,0.463,21,72,0.292,54,90,0.6,0.528,32,41,0.78,30,66,96,34,13,7,26,45,203
"Justin Harper","30","PHI","PF","6-10",225,"August 30, 1989","us","2","University of Richmond",57672,21,27,3,0,31,5,12,0.417,2,7,0.286,3,5,0.6,0.5,0,0,NA,2,3,5,2,0,0,4,2,12
"Nik Stauskas","11","PHI","SG","6-6",205,"October 7, 1993","ca","2","University of Michigan",2993040,1,23,80,27,2188,251,634,0.396,132,359,0.368,119,275,0.433,0.5,122,150,0.813,21,205,226,188,45,32,128,144,756
"Richaun Holmes","22","PHI","C","6-10",245,"October 15, 1993","us","1","Bowling Green State University",1025831,8,23,57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559
"Robert Covington","33","PHI","SF","6-9",215,"December 14, 1990","us","3","Tennessee State University",1015696,4,26,67,67,2119,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864
"Sergio Rodriguez","14","PHI","PG","6-3",176,"June 12, 1986","es","4","",8e+06,6,30,68,30,1518,210,536,0.392,92,252,0.365,118,284,0.415,0.478,18,27,0.667,21,136,157,344,49,4,128,95,530
"Shawn Long","36","PHI","C","6-9",255,"January 29, 1993","us","R","University of Louisiana at Lafayette",96969,15,24,18,0,234,61,109,0.56,7,19,0.368,54,90,0.6,0.592,19,35,0.543,41,44,85,13,9,9,13,49,148
"T.J. McConnell","1","PHI","PG","6-2",200,"March 25, 1992","us","1","Duquesne University, University of Arizona",874636,2,24,81,51,2133,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556
"Tiago Splitter","47","PHI","C","6-11",245,"January 1, 1985","br","6","",8550000,17,32,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39
"Timothe Luwawu-Cabarrot","20","PHI","SF","6-6",205,"May 9, 1995","fr","R","",1326960,9,21,69,19,1190,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445
"Andrew Nicholson","44","BRK","PF","6-9",250,"December 8, 1989","ca","4","St. Bonaventure University",6088993,19,27,10,0,111,13,34,0.382,2,11,0.182,11,23,0.478,0.412,2,2,1,4,23,27,3,5,0,6,18,30
"Anthony Bennett","13","BRK","PF","6-8",245,"March 14, 1993","ca","3","University of Nevada, Las Vegas",1015696,16,23,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115
"Archie Goodwin","10","BRK","SG","6-5",200,"August 17, 1994","us","3","University of Kentucky",194494,17,22,12,0,184,34,61,0.557,4,13,0.308,30,48,0.625,0.59,23,32,0.719,7,21,28,23,4,4,14,7,95
"Brook Lopez","11","BRK","C","7-0",275,"April 1, 1988","us","8","Stanford University",21165675,1,28,75,75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539
"Caris LeVert","22","BRK","SF","6-7",203,"August 25, 1994","us","R","University of Michigan",1562280,9,22,57,26,1237,171,380,0.45,59,184,0.321,112,196,0.571,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468
"Greivis Vasquez","21","BRK","PG","6-6",217,"January 16, 1987","ve","6","University of Maryland",4347826,21,30,3,0,39,2,8,0.25,1,3,0.333,1,5,0.2,0.313,2,3,0.667,0,2,2,5,1,1,1,6,7
"Isaiah Whitehead","15","BRK","PG","6-4",213,"March 8, 1995","us","R","Seton Hall University",1074145,5,21,73,26,1643,204,508,0.402,44,149,0.295,160,359,0.446,0.445,91,113,0.805,32,152,184,192,42,36,142,175,543
"Jeremy Lin","7","BRK","PG","6-3",200,"August 23, 1988","us","6","Harvard University",11483254,12,28,36,33,883,175,400,0.438,58,156,0.372,117,244,0.48,0.51,115,141,0.816,11,124,135,184,42,14,86,79,523
"Joe Harris","12","BRK","SG","6-6",219,"September 6, 1991","us","2","University of Virginia",980431,11,25,52,11,1138,154,362,0.425,85,221,0.385,69,141,0.489,0.543,35,49,0.714,16,131,147,54,30,8,55,121,428
"Justin Hamilton","41","BRK","C","7-0",260,"April 1, 1990","us","2","Iowa State University, Louisiana State University",3e+06,10,26,64,7,1177,174,379,0.459,55,180,0.306,119,199,0.598,0.532,39,52,0.75,71,191,262,55,29,43,43,91,442
"K.J. McDaniels","14","BRK","SF","6-6",205,"February 9, 1993","us","2","Clemson University",3333333,15,23,20,0,293,46,101,0.455,11,39,0.282,35,62,0.565,0.51,23,28,0.821,9,43,52,9,12,10,19,25,126
"Luis Scola","4","BRK","PF","6-9",240,"April 30, 1980","ar","9","",5e+06,14,36,36,1,461,71,151,0.47,17,50,0.34,54,101,0.535,0.526,25,37,0.676,51,88,139,37,14,4,34,63,184
"Quincy Acy","13","BRK","PF","6-7",240,"October 6, 1990","us","4","Baylor University",1914544,13,26,32,1,510,65,153,0.425,36,83,0.434,29,70,0.414,0.542,43,57,0.754,18,89,107,18,14,15,19,58,209
"Randy Foye","2","BRK","SG","6-4",213,"September 24, 1983","us","10","Villanova University",2500000,8,33,69,40,1284,118,325,0.363,67,203,0.33,51,122,0.418,0.466,54,63,0.857,9,146,155,135,35,9,80,99,357
"Rondae Hollis-Jefferson","24","BRK","SF","6-7",220,"January 3, 1995","us","1","University of Arizona",1395600,2,22,78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675
"Sean Kilpatrick","6","BRK","SG","6-4",210,"January 6, 1990","us","2","University of Cincinnati",980431,3,27,70,24,1754,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,45,6,135,118,919
"Spencer Dinwiddie","8","BRK","PG","6-6",200,"April 6, 1993","us","2","University of Colorado",726672,7,23,59,18,1334,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432
"Trevor Booker","35","BRK","PF","6-8",228,"November 25, 1987","us","6","Clemson University",9250000,4,29,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709
